Timestamp;ID;11a;11b;11c;11d;11e;13a;13b;13c;15a;15b;15c;15d;15e;15f;18a;18b;18c;18d;18e;18f;Degree;Study Program;Total Semesters;My gender ;Country of Origin;Attended SEBA;Already Entrepreneur;I started this project in a university course;Comments I would like to share:;I attended a course where I developed a technical prototype? (If 'Yes' name it)
11.18.2017 17:43:45;1;4;4;5;5;2;1;3;6;4;3;5;5;4;4;1;1;3;3;5;4;Master;Information Systems ;13;Female;Germany;yes;no;;;
11.18.2017 17:45:55;2;1;2;2;3;1;1;7;5;3;1;2;4;4;4;1;1;1;1;1;1;Master;Information Systems;10;Female;Austria;yes;no;;Awesome survey!!;
11.18.2017 17:49:57;3;5;1;2;3;4;7;6;1;2;1;2;2;1;1;2;2;1;1;2;1;Master;Information Systems ;13;Male;Germany;yes;no;;;
11.18.2017 19:43:51;4;5;4;3;4;5;6;1;2;3;3;2;3;2;3;3;3;5;3;3;4;Master;Information Systems;9;Male;Germany;yes;no;;;
11.18.2017 20:50:58;5;6;5;6;5;4;6;4;7;4;5;5;3;4;4;5;5;6;5;5;6;Master;information systems;15;Female;Germany;yes;yes;no;;
11.19.2017 0:20:26;6;5;6;4;7;4;7;6;5;4;4;7;7;5;4;4;6;5;6;3;6;Master;Information Systems;10;Male;Germany;yes;no;;;
11.19.2017 12:12:39;7;6;7;7;6;6;6;7;4;3;5;5;7;6;7;2;6;6;6;6;6;Master;Information Systems;12;Male;Germany ;yes;no;;;
11.20.2017 12:51:17;8;4;6;5;7;6;7;7;7;3;3;5;3;4;7;5;6;5;5;4;6;Master;Information Systems;10;Male;Germany;yes;no;;;
11.20.2017 13:14:12;9;7;6;7;7;6;4;7;7;5;5;4;5;6;4;5;6;5;5;7;6;Master;Information Systems;10;Male;Germany;yes;yes;yes;;
11.20.2017 13:14:17;10;7;7;5;5;5;4;7;1;6;6;6;7;6;6;6;5;4;5;5;4;Master;Information Systems;10;Male;Germany;yes;no;;;
11.20.2017 14:37:15;11;3;5;6;4;2;3;1;5;3;4;5;6;6;6;3;2;4;4;4;4;Master;Information Systems;10;Male;Germany;yes;no;;;
11.20.2017 14:52:25;12;6;6;7;7;6;5;2;5;3;4;5;5;5;5;5;7;6;7;6;7;Master;Information Systems;10;Female;Germany;yes;no;;;
11.20.2017 15:10:32;13;4;7;7;7;7;2;6;7;6;6;7;6;7;2;2;7;7;7;7;7;Master;Information Systems;10;Male;Germany;yes;yes;no;;
11.20.2017 16:48:11;14;4;4;6;5;5;2;7;3;4;5;4;4;6;6;5;4;3;6;6;4;Master;Information Systems;11;Male;Germany;yes;no;;;
